root@ima-app:/var/www/Hussam#  curl http://memgator.cs.odu.edu/timemap/link/http://www.bbc.co.uk/news/business-37047416
<http://www.bbc.co.uk/news/business-37047416>; rel="original",
<http://web.archive.org/web/20160813142317/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sat, 13 Aug 2016 14:23:17 GMT",
<http://web.archive.org/web/20160813162341/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sat, 13 Aug 2016 16:23:41 GMT",
<http://web.archive.org/web/20160813180327/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sat, 13 Aug 2016 18:03:27 GMT",
<http://web.archive.org/web/20160813200908/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sat, 13 Aug 2016 20:09:08 GMT",
<http://web.archive.org/web/20160813221202/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sat, 13 Aug 2016 22:12:02 GMT",
<http://web.archive.org/web/20160814002539/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sun, 14 Aug 2016 00:25:39 GMT",
<http://web.archive.org/web/20160814022442/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sun, 14 Aug 2016 02:24:42 GMT",
<http://web.archive.org/web/20160814062518/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sun, 14 Aug 2016 06:25:18 GMT",
<http://web.archive.org/web/20160814081940/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sun, 14 Aug 2016 08:19:40 GMT",
<http://web.archive.org/web/20160814121621/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Sun, 14 Aug 2016 12:16:21 GMT",
<http://web.archive.org/web/20160826123157/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Fri, 26 Aug 2016 12:31:57 GMT",
<http://web.archive.org/web/20161019000632/http://www.bbc.co.uk/news/business-37047416>; rel="memento"; datetime="Wed, 19 Oct 2016 00:06:32 GMT",
<http://web.archive.org/web/20161027193947/http://www.bbc.co.uk/news/business-37047416>; rel="last memento"; datetime="Thu, 27 Oct 2016 19:39:47 GMT",
<http://memgator.cs.odu.edu/timemap/link/http://www.bbc.co.uk/news/business-37047416>; rel="timemap"; type="application/link-format",
<http://memgator.cs.odu.edu/timemap/json/http://www.bbc.co.uk/news/business-37047416>; rel="timemap"; type="application/json",
<http://memgator.cs.odu.edu/timemap/cdxj/http://www.bbc.co.uk/news/business-37047416>; rel="timemap"; type="application/cdxj+ors",
<http://memgator.cs.odu.edu/timegate/http://www.bbc.co.uk/news/business-37047416>; rel="timegate"
root@ima-app:/var/www/Hussam#
